BSN;Schulname;Strasse;PLZ;Schulart;lat;lng;AlleLehrkraefte_2017;AlleQ_2017;AlleLehrkraefte_2018;AlleQS_2018;Q1_5_2018;Q6_x_2018;S1_5_2018;S6_x_2018
07G10;Teltow-Grundschule;Feurigstr. 57;10827;Grundschule;52.484327;13.356154;42;12 %;43;11 %;9 %;;2 %;
07G12;Scharmützelsee-Grundschule;Hohenstaufenstr. 49;10779;Grundschule;52.494177;13.343268;38;3 %;37;3 %;3 %;;;
07G13;Neumark-Grundschule;Steinmetzstr. 46-50;10783;Grundschule;52.49282;13.36249;26;0 %;28;7 %;7 %;;;
07G14;Löcknitz-Grundschule;Berchtesgadener Str. 10-11;10779;Grundschule;52.489558;13.343356;26;4 %;;;;;;
07G15;Fläming-Grundschule;Illstr. 4-6;12161;Grundschule;52.46839;13.3329;46;7 %;48;4 %;4 %;;;
07G16;Ruppin-Grundschule;Offenbacher Str. 5A;14197;Grundschule;52.47538;13.32137;41;5 %;42;7 %;7 %;;;
07G17;Stechlinsee-Grundschule;Rheingaustr. 7;12161;Grundschule;52.46934;13.32242;35;0 %;41;2 %;2 %;;;
07G18;Grundschule am Barbarossaplatz;Barbarossaplatz 5;10781;Grundschule;52.49235;13.34978;35;0 %;32;3 %;;;3 %;
07G19;Paul-Simmel-Grundschule;Felixstr. 26-58;12099;Grundschule;52.46137;13.3926;37;3 %;38;5 %;;;5 %;
07G20;Maria-Montessori-Grundschule;Friedrich-Wilhelm-Str. 72-74;12103;Grundschule;52.45817;13.38069;36;8 %;37;14 %;14 %;;;
07G21;Grundschule auf dem Tempelhofer Feld;Schulenburgring 7-11;12101;Grundschule;52.48081;13.38185;36;6 %;37;5 %;5 %;;;
07G22;Paul-Klee-Grundschule;Konradinstr. 15-17;12105;Grundschule;52.454;13.37538;47;6 %;48;6 %;6 %;;;
07G23;Schätzelberg-Grundschule;Wolfsburger Weg 13-19;12109;Grundschule;52.4487;13.40066;21;0 %;;;;;;
07G24;Tempelherren-Grundschule;Boelckestr. 58-60;12101;Grundschule;52.478603;13.37647;25;16 %;23;13 %;13 %;;;
07G25;Ludwig-Heck-Grundschule;Königstr. 32;12105;Grundschule;52.447125;13.383928;32;3 %;35;14 %;14 %;;;
07G26;Grundschule im Taunusviertel;Wiesbadener Str. 20;12309;Grundschule;52.40019;13.41799;24;17 %;24;21 %;21 %;;;
07G27;Rudolf-Hildebrand-Grundschule;Friedenstr. 23-25;12107;Grundschule;52.43886;13.3855;31;3 %;30;3 %;3 %;;;
07G28;Kiepert-Grundschule;Prechtlstr. 21-23;12277;Grundschule;52.41591;13.37327;40;8 %;38;5 %;5 %;;;
07G29;Käthe-Kollwitz-Grundschule;Mellener Str. 38-42;12307;Grundschule;52.3862;13.40487;40;0 %;;;;;;
07G30;Annedore-Leber-Grundschule;Halker Zeile 137-149;12305;Grundschule;52.39757;13.40197;41;7 %;45;9 %;7 %;;2 %;
07G31;Carl-Sonnenschein-Grundschule;Am Hellespont 4-6;12109;Grundschule;52.443699;13.408152;29;10 %;32;13 %;13 %;;;
07G32;Bruno-H.-Bürgel-Grundschule;Rackebüller Weg 70;12305;Grundschule;52.404902;13.402536;33;12 %;34;12 %;12 %;;;
07G34;Marienfelder Schule (Grundschule);Erbendorfer Weg 13;12279;Grundschule;52.41209;13.35184;41;10 %;41;15 %;;15 %;;
07G35;Nahariya-Grundschule;Nahariyastr. 13-17;12309;Grundschule;52.39085;13.41943;41;5 %;44;11 %;11 %;;;
07G36;Grundschule am Dielingsgrund;Dielingsgrund 35;12305;Grundschule;52.41166;13.40863;34;12 %;33;6 %;6 %;;;
07G37;Ikarus-Grundschule;Körtingstr. 45;12107;Grundschule;52.43363;13.38389;35;6 %;34;12 %;12 %;;;
07K01;Sophie-Scholl-Schule;Elßholzstr. 34-37;10781;Integrierte Sekundarschule;52.492808;13.356583;118;1 %;119;5 %;;;;5 %
07K02;Carl-Zeiss-Schule;Barnetstr. 12-14;12305;Integrierte Sekundarschule;52.39571;13.40258;92;3 %;;;;;;
07K03;Gustav-Heinemann-Schule;Waldsassener Str. 62;12279;Integrierte Sekundarschule;52.40662;13.34754;107;1 %;108;3 %;3 %;;;
07K04;Theodor-Haubach-Schule;Grimmstr. 9-11;12305;Integrierte Sekundarschule;52.398399;13.403988;36;6 %;37;8 %;8 %;;;
07K05;Solling-Schule;Alt-Marienfelde 52;12277;Integrierte Sekundarschule;52.41397;13.36527;46;4 %;49;6 %;6 %;;;
07K06;Georg-von-Giesche-Schule;Hohenstaufenstr. 47-48;10779;Integrierte Sekundarschule;52.494144;13.342529;50;4 %;48;16 %;6 %;;10 %;
07K07;Johanna-Eck-Schule (Integrierte Sekundarschule);Ringstr. 103-106;12105;Integrierte Sekundarschule;52.44692;13.36411;61;0 %;57;7 %;7 %;;;
07K09;Gustav-Langenscheidt-Schule;Belziger Str. 43-51;10823;Integrierte Sekundarschule;52.485997;13.350718;40;0 %;39;3 %;3 %;;;
07K10;Friedrich-Bergius-Schule;Perelsplatz 6-9;12159;Integrierte Sekundarschule;52.47618;13.33314;39;0 %;;;;;;
07K11;Hugo-Gaudig-Schule;Boelckestraße 58-60;12101;;52.478586;13.376498;45;4 %;50;10 %;6 %;;4 %;
07K12;Friedenauer Gemeinschaftsschule;Rubensstr. 63;12157;Integrierte Sekundarschule;52.469784;13.344068;84;5 %;91;8 %;5 %;;3 %;
07K13;Schule am Berlinickeplatz (Integrierte Sekundarschule);Alt-Tempelhof 53-57;12103;Integrierte Sekundarschule;52.465657;13.379583;36;6 %;35;6 %;6 %;;;
07S01;Prignitz-Schule;Pöppelmannstr. 2;12157;"Förderschwerp.""Lernen""";52.46884;13.34519;19;16 %;26;15 %;15 %;;;
07S03;Steinwald-Schule;Hanielweg 7-9;12277;"Förderschwerp.""Geistige Entwicklung""";52.41783;13.36458;21;0 %;;;;;;
07S04;Marianne-Cohn-Schule;Holzmannstr. 7;12099;"Förderschwerp.""Geistige Entwicklung""";52.46433;13.41815;22;0 %;;;;;;
07Y01;Robert-Blum-Gymnasium;Kolonnenstr. 21;10829;Gymnasium;52.48483;13.36487;64;3 %;;;;;;
07Y02;Rückert-Gymnasium;Mettestr. 8;10825;Gymnasium;52.48047;13.33924;57;0 %;56;2 %;2 %;;;
07Y03;Rheingau-Gymnasium;Schwalbacher Str. 3-4;12161;Gymnasium;52.470206;13.322611;63;0 %;;;;;;
07Y04;Paul-Natorp-Gymnasium;Goßlerstr. 13-15;12161;Gymnasium;52.46939;13.32431;65;3 %;66;4 %;2 %;;2 %;
07Y05;Luise-Henriette-Gymnasium;Germaniastr. 4-6;12099;Gymnasium;52.46546;13.39059;54;2 %;52;4 %;2 %;;2 %;
07Y06;Askanisches Gymnasium;Kaiserin-Augusta-Str. 19-20;12103;Gymnasium;52.45992;13.37992;52;0 %;;;;;;
